Domain,Area,Element,Item,Year,Unit,Value,Note
"Annual population","India","Rural population","Population - Est. & Proj.","2003","1000 persons","781270","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2004","1000 persons","789626","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2005","1000 persons","797627","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2006","1000 persons","805226","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2007","1000 persons","812452","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2008","1000 persons","819375","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2009","1000 persons","826114","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2010","1000 persons","832723","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2011","1000 persons","839231","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2012","1000 persons","845516","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2013","1000 persons","851534","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2014","1000 persons","857198","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2015","1000 persons","862451","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","2016","1000 persons","867272","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
